"","year","quarter","qBachelors","qSomecoll","qHSgrad","qLessHS","qpopBachelors","qpopSomecoll","qpopHSgrad","qpopLessHS"
"64",1994,4,2.14348524324769,3.91441219480989,4.50578374437842,9.27293020568149,25.2811063812363,26.8691185744161,34.1881000498123,13.6616749945354
"65",1995,1,2.44715965653005,4.05881770288902,5.46292250858523,9.57352113395446,25.6272288622863,26.791376321581,34.4342615983113,13.1471332178214
"66",1995,2,2.19224460995611,4.04405457354107,4.67017076264711,8.44103255135503,26.135286975722,26.1966573122702,34.2571300599425,13.4109256520653
"67",1995,3,2.78537867948163,3.79419903117433,4.42013450658271,8.83086169872915,25.8850567392835,27.0932534474606,33.8618150491107,13.1598747641452
"68",1995,4,2.0668842509203,3.7204261229613,4.34660840111154,8.90192544604193,25.8673884503808,26.8099776784238,34.0487640225509,13.2738698486445
"69",1996,1,2.24926490926651,3.90136368810738,5.48148688076457,10.6110939551754,26.1235442532377,27.0591923955656,33.6004422640831,13.2168210871136
"70",1996,2,1.87945257812348,3.77171793697134,4.40353071205626,9.07205305676444,26.2424332942066,26.0467038455935,34.0901165440648,13.6207463161351
"71",1996,3,2.48654827323613,3.6785692164094,4.08555297757455,7.87811094313192,25.8926523972476,27.3240438294125,33.4855681570373,13.2977356163026
"72",1996,4,2.03914345761488,3.41755239764129,4.49320289036302,7.88011288474394,26.1739985132808,27.0704109544292,33.8931112631665,12.8624792691235
"73",1997,1,2.06798795751422,3.90294757725203,5.2263829807481,10.1126999876433,26.4401784617216,26.6893511356972,33.7981879368676,13.0722824657137
"74",1997,2,1.78376877118966,3.07255625980951,3.89337539252458,8.50645471787412,26.6686308738909,26.0868636320179,34.0126674648905,13.2318380292007
"75",1997,3,2.46774787257731,3.15492039820003,3.99749885369349,7.04238421744672,26.3974314348047,26.8095201462876,33.915904945605,12.8771434733028
"76",1997,4,1.470088578954,2.94291587708474,3.86856685721303,7.32862734207705,27.0923161945812,27.0614672299178,33.4586112053797,12.3876053701214
"77",1998,1,1.92601552827081,3.19687390498831,4.56693185369573,8.74348884790676,26.8081124297558,26.7549317124747,33.7410871615706,12.695868696199
"78",1998,2,1.59534195680577,2.7473339331894,3.53240805118922,6.88585639540078,27.2149480752082,26.5742598267005,33.4726403166436,12.7381517814477
"79",1998,3,2.04072676392726,2.88247979920008,3.86895548278838,6.72320266082511,27.2985955052245,26.6254795547962,33.3940461357985,12.6818788041807
"80",1998,4,1.88932152265622,2.60373284357978,3.34111262077288,5.9747021352538,28.0528287967161,26.8809414341159,32.9387099682647,12.1275198009033
"81",1999,1,1.92498181633593,2.96641114662908,3.94780369054589,8.26149419906339,27.6654757094352,27.1429053896593,33.1796426976328,12.0119762032727
"82",1999,2,1.98294280430859,2.7378733618255,3.2653099920282,6.25128590396828,27.9983458097298,26.4751344004047,33.469036166417,12.0574836234485
"83",1999,3,1.61133531291037,3.0400323257338,3.4423690627604,5.74904789347198,27.9838413977824,27.28225838974,32.7707677622242,11.9631324502534
"84",1999,4,1.67558673520175,2.47086149007701,3.1550314881614,5.9320307413716,28.2361065313471,27.2051666302624,32.4621500062412,12.0965768321493
"85",2000,1,1.66435940092462,2.80896130566813,3.78317628806649,6.72506208510597,28.1864860546885,27.3046674524583,32.7621759485018,11.7466705443514
"86",2000,2,1.52649509650538,2.68604322865586,2.95217499109184,6.70208913307276,27.6476987603128,27.093605456967,33.1146967449444,12.1439990377758
"87",2000,3,1.84654168333055,2.7846982094789,3.45840405545601,5.41310220780435,28.1492979445289,27.6741937455805,32.3028313731074,11.8736769367832
"88",2000,4,1.36127692219547,2.22863138632769,3.32428438389952,6.02037008560846,28.4073600455921,27.4245094300644,32.1950544796496,11.973076044694
"89",2001,1,1.64387423999009,3.17105547473832,4.21038269126568,8.75027536128933,28.4362350858362,27.5317614427904,32.4659795137224,11.566023957651
"90",2001,2,2.07446775421346,2.7525278130086,3.4656571149171,5.78427416353453,27.8770389879416,27.2694894107082,32.7037169269335,12.1497546744167
"91",2001,3,2.40961154752486,3.13109719634683,3.94974168483927,6.57037473787238,28.9034387914209,27.8685188531278,31.826306930766,11.4017354246853
"92",2001,4,2.68306426358486,3.7305824465959,4.3964413116932,7.87436099142742,28.9365152082396,28.1059932278144,31.6573350831652,11.3001564807808
"93",2002,1,2.78945323018948,4.39661783605698,6.11027380310669,9.80975334919493,28.8078129808062,27.7343748441235,32.2372864985546,11.2205256765157
"94",2002,2,2.88514361917924,4.76008161988014,5.3196200251695,7.85021454463517,29.3385722579811,27.0295842654513,32.1593043656242,11.4725391109434
"95",2002,3,3.1143892222893,4.28439808647965,4.95046652399061,7.52129612689507,29.5766992857695,27.6056061500011,31.708410510696,11.1092840535334
"96",2002,4,2.88600017302252,4.65943711873323,4.75731115890452,8.70508220008427,29.331116671264,28.015654460792,31.660120673096,10.993108194848
"97",2003,1,2.97877150833892,4.50383533245455,5.85519953643309,10.0857286850214,29.1115189082189,27.9119065918209,31.8167404231292,11.1598340768309
"98",2003,2,3.26101833784779,4.73362450372147,5.55712110081957,8.16602196824591,29.5462211360664,27.2635947053618,31.9217239635209,11.2684601950509
"99",2003,3,2.98703014958462,4.58026681402489,5.2249558723867,8.43213836204043,29.8253199728367,27.5867180268249,31.6503045813509,10.9376574189875
"100",2003,4,2.79657441479747,4.45456720577049,5.02268439064938,8.5742684594754,30.0612591912199,27.4754160216524,31.432069873582,11.0312549135457
"101",2004,1,2.81485822237764,4.77462372388931,5.58845216055145,10.6945713685054,30.0626205510675,27.5991132293694,31.414320197528,10.9239460220351
"102",2004,2,2.79048385497502,4.02627933011237,4.91099057551365,7.37053869095099,29.7352126031796,27.3924995803025,31.922579464489,10.9497083520289
"103",2004,3,2.81080145909074,3.99801413903952,4.80465461681652,7.5869801353401,29.7616847889576,28.0527483474388,31.4078386068394,10.7777282567642
"104",2004,4,2.45005262398146,3.9810428525412,4.44038167406546,8.08899394267843,30.2469463580378,27.9090211794974,30.8818176001324,10.9622148623325
"105",2005,1,2.48122286603351,4.01616073082015,5.45940225217591,8.9210451331348,30.2871256031724,27.6188901796664,31.3949720867764,10.6990121303849
"106",2005,2,2.30382791264612,3.57919533550506,4.20728872546764,6.77141387176354,29.8688788222792,27.2981442610861,31.5397369688686,11.2932399477661
"107",2005,3,2.53614564632924,3.84637060724028,4.2659518450574,6.77791401518539,30.4556664711824,27.8673525365162,30.4974764787508,11.1795045135505
"108",2005,4,1.9758070579385,3.16625139856648,4.43421716252116,7.43501321317329,30.4851101872502,28.0492849677637,30.6809642884407,10.7846405565453
"109",2006,1,2.22086212821791,3.80380254664439,4.96970169483231,7.54125769719017,30.4352595555103,27.88768152188,30.9165789695254,10.7604799530842
"110",2006,2,1.98274363548126,3.63187281568209,3.96140843289387,7.0892398416193,30.1921980342936,27.5984058870707,30.9891006086729,11.2202954699629
"111",2006,3,1.96091419133906,3.33696393701765,4.14249820776744,5.18456842788014,31.055744257421,27.6909835156007,30.4505995094568,10.8026727175215
"112",2006,4,1.79941132624645,3.12150399337483,3.62191392808963,5.9807748303208,30.8956594980217,28.0763822792718,30.3387199546918,10.6892382680148
"113",2007,1,2.14817926213625,3.85249747925064,4.92422303178618,8.19661329694672,31.2220867577186,27.1647552444396,30.4723905829124,11.1407674149294
"114",2007,2,1.82628644354053,3.50963909494721,3.90019423045415,5.96245151018601,30.9938868920368,27.1333085487872,30.8781518618814,10.9946526972945
"115",2007,3,2.10198299321009,3.58045772178694,3.90852815089857,5.85688858843514,31.9055024272009,28.0864475440651,30.1758544503719,9.83219557836206
"116",2007,4,2.06879223731902,3.50428494209021,4.00063426244198,7.07031090485689,31.856130155756,28.1415808041057,30.121699685546,9.88058935459225
"117",2008,1,2.0572878932009,3.88191889393937,5.40792482086871,8.84425053511276,31.5855143729246,27.7838531523169,30.4359797883051,10.1946526864533
"118",2008,2,2.05474127318083,3.97655456783261,4.99872030338919,7.5768718797243,31.892240996319,27.7918554732049,30.0495770195622,10.266326510914
"119",2008,3,2.71932826769391,4.72700654785974,5.41786050995508,7.83522234428988,32.1483792861342,28.0806596318968,30.0979601364202,9.67300094554881
"120",2008,4,3.12775143884586,5.05398378021509,6.4950168687898,9.92669358038669,32.029356599202,28.2729252553748,29.567741436415,10.1299767090082
"121",2009,1,4.23445696187077,7.17221859516564,9.99734597250752,14.9480970491728,31.8232774361711,27.9533885797199,30.1896643372174,10.0336696468916
"122",2009,2,4.33937436046351,7.55434623991404,9.65420179803975,14.9471100378176,31.7030976102737,28.0720793224148,29.9511280040141,10.2736950632973
"123",2009,3,5.20664288291267,8.03937040132264,9.28062640000388,14.1688068539286,31.9878016998701,27.9477781192975,30.0498698724129,10.0145503084196
"124",2009,4,4.56739376388392,8.5916206589387,10.388739699924,14.4285082776005,32.1244918394455,28.1559506454216,29.7034213708189,10.016136144314
"125",2010,1,4.89549095591077,8.65217676321615,11.6702131448043,17.1133503268989,32.5046160481046,27.8419414025429,29.8041216907154,9.849320858637
"126",2010,2,4.46519223187923,7.75528315071162,10.319389876232,14.9725249026118,31.5797061201379,27.7353578012418,30.3324400980181,10.3524959806021
"127",2010,3,4.81512249837213,8.63877933653712,9.82422418185289,12.9563252616516,32.4907244638007,27.8648439204799,29.7782280346432,9.8662035810763
"128",2010,4,4.65580425895618,8.10906596678353,9.45573211229819,14.1245459252325,32.460781169388,28.3280453006636,29.5575429752806,9.65363055466785
"129",2011,1,4.48852451127308,8.10906683120853,10.6012146221599,15.703274078774,32.6047097308445,27.9921489307019,29.594003360467,9.80913797798664
"130",2011,2,4.14063501390021,7.2729076502904,9.78109696447123,13.4385606491013,32.5136834529452,27.7329447482648,29.615389238924,10.137982559866
"131",2011,3,4.47427716526915,8.25017249053271,8.98192218674198,13.1993082826582,32.9372883893352,28.0670135991471,29.4704975301206,9.52520048139709
"132",2011,4,3.93997738488207,7.51978866841954,8.70297388501764,13.1928189508303,33.0619753542394,28.0790552002775,29.1919344100291,9.66703503545393
"133",2012,1,4.03834775606693,7.56598041924207,8.79867859457969,14.7003051102068,33.2248285274191,28.1114588803954,29.1876035511408,9.4761090410447
"134",2012,2,3.89905518736602,7.26064963245029,7.88778982809756,11.2540679864761,33.3842549535052,27.9790620307177,28.9760452002698,9.66063781550738
"135",2012,3,4.04661835103332,6.79473828898456,8.0725564111995,11.7000408227817,33.4204222782764,28.2880692611177,28.9011086060692,9.39039985453678
"136",2012,4,3.53398305444661,6.35509349426763,7.60134170558129,11.4645619030766,34.0397932522549,28.0133178763721,28.6547603635195,9.29212850785349
"137",2013,1,3.77233378743319,6.97410955485533,8.77973742504916,13.2070460368109,33.9968709029907,28.142488158654,28.7139972361805,9.1466437021748
"138",2013,2,3.60599233143589,6.00061065975254,7.32427336857014,9.50949386170011,33.8498228818045,28.2472443579532,28.5298708197175,9.37306194052475
"139",2013,3,3.95020865879776,6.00982337079161,7.54054070508731,10.532146497601,34.2651672449167,28.2134084285164,28.4604648893499,9.060959437217
"140",2013,4,3.30086564227746,6.22670867997576,6.6703515584784,9.73031973278565,34.3732291243118,28.1194862711945,28.4265765143554,9.08070809013831
"141",2014,1,3.26496998749146,6.16225119429999,7.02632479649781,10.6892016868771,34.5410251850624,27.7407015761695,28.6193821149099,9.09889112385823
"142",2014,2,2.84026678907209,5.25163293203386,5.85420884897213,7.5365062760886,34.1122704180722,28.2543401028618,28.3017374651144,9.33165201395166
"143",2014,3,3.37245384867652,5.42054581913837,5.33109909093163,8.61817325611189,34.5264751967646,28.2700498514855,28.3727289733956,8.83074597835427
"144",2014,4,2.62605872737248,5.04009506486717,5.01281397455172,7.85467004813886,34.0397623132838,28.1076959205707,28.7224993231718,9.13004244297373
"145",2015,1,2.66997073580409,4.99561342861171,6.2162699048253,8.36155259114842,34.761630975526,27.6983821621035,28.1533278591653,9.38665900320522
"146",2015,2,2.59483245436624,4.48687233410754,4.85638216670068,8.40754307076099,34.1566957249504,27.7638333778825,28.3112704811211,9.76820041604593
"147",2015,3,2.75319276108249,4.00282390007703,5.32074111286415,6.79661195438521,34.6092060428313,27.9631278898243,28.2026866910402,9.22497937630421
"148",2015,4,2.02676719453857,4.40414202857796,4.88242019316634,7.35144294578157,34.8337859710632,27.752115905245,28.4132850929509,9.00081303074097
"149",2016,1,2.37272046322286,4.756349537941,5.64366362007419,8.2361821307011,35.0483343860104,27.9992718189906,27.7703751651337,9.1820186298653
"150",2016,2,2.39749204265237,3.75939622637286,5.07218546224419,7.33792387672526,34.7014911407569,27.7197772203802,28.2991996233146,9.27953201554832
"151",2016,3,2.52753677039219,4.09058119819663,4.81417202833107,7.02472242975654,35.3629018877827,27.6344162802434,28.2371170415573,8.7655647904166
"152",2016,4,2.12737074665053,3.67428419373583,4.88517247708668,7.11076822669585,35.135374562029,27.7090193845707,28.2807961004238,8.87480995297652
"153",2017,1,2.31837388121351,4.21538856778895,5.51887078322346,8.54026933135126,35.5879821738135,27.7282763403701,27.9747304699632,8.70901101585327
"154",2017,2,2.06347426995867,3.58886170375956,4.3739595207739,5.13333369631069,35.2867907055979,27.5205398203046,28.4537942221558,8.73887525194161
"155",2017,3,2.43628811318021,3.56630148980086,4.39845491084309,6.24464105366561,36.136622614458,27.5510559039153,27.7176353427015,8.59468613892509
"156",2017,4,1.93143365516528,3.54923970591204,4.16337619520624,5.27714412609092,36.0234720188574,27.5413402700607,27.8924143720929,8.54277333898899
"157",2018,1,2.25480348041988,3.41520366158285,4.55816552941112,7.2925220451965,36.3477472391251,27.2905219747583,27.8109614001759,8.55076938594076
"158",2018,2,1.82831163788671,3.24614456236535,3.97364899514166,5.72647813191766,36.0277055232117,27.3492474463159,28.0269776854735,8.59606934499894
"159",2018,3,2.04438536614243,2.97401500511758,3.83754405871547,4.5828951261991,36.8013737845088,27.1363261917873,27.6477998653263,8.41450015837749
"160",2018,4,1.87725235953233,2.83909116120886,3.61528764934983,4.95228175317106,37.2141564293005,26.923209194434,27.7834073587013,8.07922701756422
