"","year","quarter","qWhite","qBlack","qNative","qAsianPacific","qOther","qpopWhite","qpopBlack","qpopNative","qpopAsianPacific","qpopOther"
"53",1992,1,6.13905621549006,12.1619706463766,14.1055197677693,5.72085381233573,6.36674267465349,86.2189933281632,9.46140041717906,0.925193992933789,3.08745323151162,0.306959030212381
"54",1992,2,5.41451466351955,11.5143872722999,8.68468887340952,7.23207710714485,7.84109055512582,85.8611556447032,9.60074643009307,0.992053916275258,3.30299275810092,0.24305125082753
"55",1992,3,5.49614940253563,10.5921157804362,11.3494011422799,6.57075885222064,3.79764622928384,85.7499264957567,9.67103966458273,0.957892894403284,3.27680766114139,0.344333284115903
"56",1992,4,5.32900088663055,9.97377671821482,12.898736404198,4.59248230840423,9.89875521625586,85.3279017261233,9.78303377436518,1.00452075587393,3.45837802522576,0.426165718411849
"57",1993,1,5.90485980076786,10.9981386287099,13.7841277652343,5.90972591037267,7.02474504084897,85.5167151207973,9.64626839045917,1.04147196064362,3.36625821522751,0.429286312872445
"58",1993,2,5.04747475900714,9.9430330102979,12.8692783753147,6.43286265779866,7.75455696753321,85.6201809503144,9.62794709703414,0.997341030778966,3.38071606444567,0.373814857426797
"59",1993,3,5.03282819076143,10.4259282202667,7.69929017963136,5.73232987228531,10.7285377483818,85.1050476403466,9.83940071491299,1.04308259125227,3.53523493499434,0.477234118493829
"60",1993,4,4.900477698527,7.99118508399897,9.68868067383645,5.24132048381718,10.7782308195979,84.7662640677497,10.0891086262442,1.12099798997493,3.46067053656751,0.562958779463697
"61",1994,1,5.08750391463914,10.006331551527,14.0978597871254,6.19252078740805,9.65776811464705,85.0879295894282,9.63676707058773,1.13852413272918,3.50407742016494,0.632701787089948
"62",1994,2,4.39806659250987,9.01458544325191,6.41945074917607,5.19767414392177,7.30190609056413,84.9784735033205,9.64133969736162,0.944009946645659,3.50634207370112,0.929834778971072
"63",1994,3,3.99894482020039,7.98662990639804,7.93792897778319,5.47337574798939,10.9109531399481,84.1983962455744,9.96746095992231,1.03763473582422,3.53343975195153,1.26306830672751
"64",1994,4,3.67237546223937,7.31803851166306,9.78428680997185,4.67606387483796,9.36312399608556,84.0079157354659,10.082825292779,1.15125392795456,3.41314436779744,1.34486067600307
"65",1995,1,4.14807286974095,7.8463714806125,12.6588020104782,5.20536133490593,7.0316651289413,84.2573293842847,10.1388872226816,0.985408067374321,3.38310919794352,1.2352661277159
"66",1995,2,3.80564270137797,6.78804573048199,8.64950512384232,2.96122863107127,7.96022229214027,83.8097858985686,9.83092147742468,1.08139879782865,3.68515262095649,1.5927412052216
"67",1995,3,3.74969975778662,7.38294837017542,9.73155164551816,3.97493655858399,6.57831027647692,83.528562987418,9.88132105655367,0.988695062605524,3.52396813875947,2.07745275466332
"68",1995,4,3.5104775865697,6.76733231523425,6.46190610429034,4.26828335775313,9.61060405904481,83.4195772779047,9.97405928829528,1.05921765140206,3.53226830967243,2.01487747272552
"69",1996,1,4.2010789854015,7.8303349601668,10.059191510981,4.22380133301778,NA,85.3575022936311,9.85736394527773,1.2069100010795,3.57822376001166,NA
"70",1996,2,3.596249481034,7.07326372906644,6.78992352850986,3.96250758874733,NA,85.295944994654,9.90096726348776,1.1120489868991,3.69103875495918,NA
"71",1996,3,3.32142941344136,8.08595040201667,9.90780344004217,3.62416651614464,NA,84.9571243878077,9.88732073878602,1.24980898665712,3.90574588674921,NA
"72",1996,4,3.48934226365232,6.22924816262375,8.16330130898601,3.72135269499716,NA,85.0364898127634,10.0466711354677,1.13762702799441,3.77921202377447,NA
"73",1997,1,3.91338872217221,8.46472249812365,10.3046087535028,3.66227825704711,NA,85.1727674606435,9.82353704117989,1.29022218064553,3.7134733175311,NA
"74",1997,2,3.04057855135527,7.29649578277529,6.81515089671521,3.45712586070758,NA,85.1329439213199,9.94107805175225,1.23823912557502,3.68773890135282,NA
"75",1997,3,3.05441028681042,7.66641377803588,6.41434832604184,3.98559296188633,NA,84.358692822774,10.2988814455933,1.29899205944172,4.04343367219098,NA
"76",1997,4,2.82970895537304,6.1971967431453,8.45835387335659,2.81676385104305,NA,85.0539836756229,9.81220637262663,1.17091260519183,3.96289734655867,NA
"77",1998,1,3.4452823530831,6.74509103126938,7.72808969075839,3.39084679927617,NA,85.1496541477355,9.76617236414579,1.31261480840053,3.77155867971813,NA
"78",1998,2,2.64148953075015,6.15925680337158,7.12599115843305,2.94940628726762,NA,84.8738806720479,9.90600002266812,1.22841893700551,3.99170036827845,NA
"79",1998,3,2.99518560746112,6.0029164599334,7.14004069867651,2.61829277592397,NA,84.6329704079979,10.193695290289,1.19587561168237,3.97745869003079,NA
"80",1998,4,2.5430077903532,5.78901514128138,6.20885231386407,2.74809222983172,NA,84.6417119429682,9.94217911493976,1.21009173938038,4.20601720271161,NA
"81",1999,1,3.15328994579244,5.62643246483372,6.88449926230125,3.992565798973,NA,85.0590229440455,9.75683100114792,1.29044001129346,3.89370604351311,NA
"82",1999,2,2.76005505211668,4.65111623122983,9.0201831992161,2.92917930305449,NA,85.0104017758346,9.86705758531869,1.16448110638311,3.95805953246365,NA
"83",1999,3,2.6016979089002,5.9980025147038,6.32128773017242,2.01567662839969,NA,84.9783720183657,9.86040299162156,1.2069083249837,3.95431666502906,NA
"84",1999,4,2.36486988585111,5.57961847928673,3.32089016867886,3.0751690182817,NA,84.6920251682717,10.0326877505454,1.13745261705448,4.13783446412844,NA
"85",2000,1,2.87408951669811,5.05263245777025,5.23635647403773,3.03507672705451,NA,84.7874826068078,10.0445839407753,1.21412371146751,3.9538097409494,NA
"86",2000,2,2.46766787322924,4.94329877122579,10.991644964733,2.51526633287329,NA,84.4290605198864,10.2216491627105,1.32990330179293,4.01938701561022,NA
"87",2000,3,2.63342903075967,5.47812693063146,2.54098491559867,2.88693448068854,NA,84.2967530812028,10.0738330998839,1.33707249379654,4.29234132511677,NA
"88",2000,4,2.37023762746869,5.32915568046466,5.57059726131863,1.48379552510136,NA,84.4188911225,10.1651150259732,1.2304906044713,4.18550324705549,NA
"89",2001,1,3.24231482078921,5.78180577515212,6.42448350689765,3.47097997888151,NA,84.2057377642119,10.3470071382528,1.26092656163071,4.18632853590461,NA
"90",2001,2,2.77251776644282,5.12057559266065,5.30428202887294,3.15730950957371,NA,84.0336362093947,10.1759974185682,1.45412076866083,4.33624560337627,NA
"91",2001,3,3.12064733043741,5.76318745835238,7.51702213529361,3.70966042207199,NA,84.3130607555955,9.85555292181333,1.3961600469693,4.43522627562186,NA
"92",2001,4,3.59241767192089,6.50612467790891,7.53641318647941,4.72747546826858,NA,84.7936925588459,9.86449983763298,1.21831493841856,4.1234926651026,NA
"93",2002,1,4.54756010451932,7.52151021132853,7.1667678528849,5.57777579283643,NA,84.888525452511,9.79101784229704,1.31601093613475,4.00444576905717,NA
"94",2002,2,4.06035251684792,8.35398292317518,7.9949034914812,5.35196474091374,NA,84.789567637513,9.41133483942298,1.50705190314996,4.29204561991404,NA
"95",2002,3,4.05501826575408,6.80146639475931,8.77228046901827,4.28276070172177,NA,84.6956861807685,9.70315991233598,1.28624304998555,4.31491085690998,NA
"96",2002,4,3.90549425123681,8.04289184023571,9.87353249002819,5.7435578719869,NA,84.4937646923446,10.0103167695852,1.23255448302183,4.26336405504829,NA
"97",2003,1,4.48418602548977,8.07784090325223,8.51880101452124,5.54340925478672,6.87163181046405,84.2367631251272,9.30203929333645,1.14411539549321,3.85036946960589,1.46671271643724
"98",2003,2,4.27870261090589,8.27835145328727,10.5777923809874,5.48997035472091,6.56332429442283,84.0681451511814,9.14307434319991,1.18772170296904,4.01567622306426,1.58538257958539
"99",2003,3,4.13050518595062,7.91312836209009,7.8118284952281,4.93507828828767,6.206253045753,83.9394336814832,9.47933130096648,1.02115484275369,4.10101872790578,1.4590614468909
"100",2003,4,3.98411611265526,7.58243400048996,6.27398237437482,5.5531908160644,4.85646517656723,84.184087330904,9.65039327295124,0.853939374938785,3.92733072235194,1.38424929885403
"101",2004,1,4.59639097544465,7.75587198540926,8.35675496507146,4.03821778408053,5.63498614634146,83.9661529199758,9.34417260697545,1.08442410554068,4.05397184668303,1.55127852082504
"102",2004,2,3.74414903395418,7.62814272512843,9.88424180817287,3.37637480750923,4.66082271015116,83.5524503929083,9.51758644555816,1.20619517163014,3.98254798024988,1.74122000965353
"103",2004,3,3.72299622400629,7.69185535350229,8.18594178342896,3.29121754543244,5.40541870141644,83.608164264138,9.38251441319034,1.28384958773633,4.07936054401186,1.64611119092344
"104",2004,4,3.3871071110559,8.39492864527076,5.07903646782006,3.41054024144876,6.74078182878463,83.3703544873941,9.38410947091872,1.18632295476334,4.35597597060739,1.70323711631644
"105",2005,1,3.76361154616751,9.06223552854942,8.02027521566394,3.5594475048622,6.21275153953696,83.7465716373879,9.36435788195787,1.0426055675835,4.1486176877932,1.69784722527757
"106",2005,2,3.1629831894624,7.32591262713962,6.87462325439027,3.02961820273143,5.14608894372883,83.6178417161635,9.29665471975661,1.04849086005721,4.3156818990876,1.72133080493506
"107",2005,3,3.36664314222375,6.69326535209119,8.58080982287965,3.86823013715671,5.9350057353238,83.3750432460836,9.377065308189,1.14685305671784,4.36312787809438,1.73791051091517
"108",2005,4,3.06841955027001,6.83083782831218,3.815960448276,3.30991518131023,6.20167792992542,83.379067458791,9.05520435582817,1.15215674936977,4.630554892566,1.7830165434451
"109",2006,1,3.53800392790356,7.33839610783996,5.97593096893737,2.90131148930917,5.85714096786353,83.3635955220852,9.45770581614629,1.03539852464229,4.35838043047081,1.78491970665539
"110",2006,2,3.11018999202663,6.58899743081355,4.73248618243124,3.07405742940068,4.51045208270616,83.2295464230764,9.65244405095689,0.889391288471739,4.51390684459398,1.71471139290103
"111",2006,3,2.8282215633517,6.81754783253519,6.04730474977084,2.60202903106548,2.96957416840609,83.1545133323959,9.33639862067893,1.05967575915342,4.7435213411421,1.70589094662967
"112",2006,4,2.74614459993244,5.82619936069759,5.6244591719106,2.3056518168877,2.86641360582873,83.1119470628559,9.19953223663064,1.14328595323539,4.81602852307422,1.72920622420385
"113",2007,1,3.67951581355932,6.35383771236853,9.16299832842712,2.92470931772088,5.88042500650464,83.2504655182415,9.52369254512012,0.957536046171255,4.64953083008428,1.61877506038283
"114",2007,2,2.96139578208217,5.50693849848247,2.8737907514497,3.43364866245825,5.82915750149958,83.0960854967503,9.84288323756721,1.0167454692481,4.60948453119961,1.43480126523477
"115",2007,3,3.04814797156728,5.5674734044996,6.83519279598517,2.67912454122973,4.72312802897762,82.8309520248211,9.70104580600427,1.20748381621844,4.68993057974768,1.57058777320847
"116",2007,4,3.15240847330848,5.79825716401051,5.8086817652598,2.88667985129144,4.74549625703064,82.8626709917178,9.47559245649726,1.14886750056695,4.89173323616064,1.62113581505736
"117",2008,1,3.82991506168524,6.62303232733106,3.51171516982035,3.39744404097182,4.83270288109322,83.0536886012136,9.58538779443228,1.02048978408007,4.91470668422888,1.42572713604514
"118",2008,2,3.4875392902462,6.77092912392909,7.1489083303397,3.42658053107366,7.53667393426125,82.8899337415397,9.96888284009867,1.0312431461324,4.68999383571042,1.41994643651878
"119",2008,3,4.03317535113812,7.64150435431062,9.60870656576773,3.93495455751147,5.92337944337373,82.8983914055991,9.66546158510598,1.04117693137081,4.87373983671464,1.52123024120952
"120",2008,4,4.67847335689908,9.76741655603549,7.66142344084486,3.25604004399233,7.39975220778575,82.9643085657581,9.42202407107876,1.11414410369312,4.96726356176344,1.53225969770655
"121",2009,1,7.23027060657454,10.9618140847546,12.4934730151968,6.58140548513582,9.83424118703468,82.7663476716645,9.62557532358597,1.06041646717616,5.08375073765424,1.4639097999191
"122",2009,2,7.17158881343284,12.2490785610848,8.56030606344093,5.45975981188769,13.1519289523509,82.3279300924124,10.140028287621,1.08655227225698,4.89044543117642,1.55504391653315
